Cykl_1,HMG,HL,Anoda_ANALIZA As,Anoda_ANALIZA As_amin,Anoda_ANALIZA Bi,Anoda_ANALIZA Bi_amin,Anoda_ANALIZA Bi_amax,Anoda_ANALIZA Ag,Anoda_ANALIZA Ag_amin,Czas_h,Temp_naporowe_amax,Temp_naporowe_mean,kwas [m3]_mean,Elektrolit [m3]_amin,NaCl [kg]_amin,NaCl [kg]_amax,NaCl [kg]_mean,NaCl [kg]_std,Sklad_Bi_amin,Sklad_Bi_amax,Sklad_Bi_mean,Sklad_Ni_amin,Sklad_Ni_amax,Sklad_Ni_mean,Sklad_Zn_amin,Sklad_Zn_amax,Sklad_Zn_mean,Sklad_H2SO4_amax,Sklad_H2SO4_mean,Sklad_Cu_amin,Sklad_Cu_amax,Sklad_Cu_mean,Sklad_Cl_amin,Sklad_Cl_mean,NaCl_amax,NaCl_mean,NaCl_std
1,1,0,0.1375,0.13,0.003975,0.0036,0.0041,0.2725,0.27,248.0,62.5335333506266,59.89291459145158,1.584,-3.0,0.5,6.0,3.684,1.6501624600560738,0.054,0.057,0.055836,4.56,4.68,4.606559999999999,0.022,0.025,0.023164,175.62,171.91304,41.53,43.68,42.704800000000006,0.03,0.034488,50.03,30.78686746987952,13.810815501812591
1,1,0,0.1525,0.15,0.00385,0.0034,0.004,0.305,0.29,248.0,62.2926500320434,59.940275300565794,1.36,-17.0,0.5,5.8,3.3488,1.749061297292564,0.056,0.062,0.0596719999999999,4.94,5.06,5.013439999999999,0.022,0.022,0.022,180.48,175.98632,41.79,45.57,43.78772,0.032,0.035528,48.34,27.79630522088353,14.461259147538678
1,1,0,0.1525,0.15,0.003875,0.0036,0.004,0.285,0.28,226.0,61.5742832183837,60.01244808319749,1.251101321585903,-17.0,0.5,5.7,3.1709251101321585,1.6726960190790188,0.06,0.061,0.0606651982378854,4.72,4.74,4.7333039647577095,0.022,0.022,0.022,177.67,171.247577092511,41.22,43.94,42.78321585903084,0.032,0.0345022026431718,47.55,26.44694690265487,13.800110658712988
0,1,0,0.17,0.17,0.0034,0.0034,0.0034,0.34,0.34,293.0,62.6027665456136,60.057418686423965,2.1904761904761907,-59.0,2.0,6.0,4.73469387755102,1.227258831885191,0.067,0.068,0.0675306122448979,4.78,4.84,4.811836734693878,0.022,0.022,0.022,179.46,173.95367346938775,42.74,46.1,43.914693877551024,0.03,0.0332653061224489,50.05,39.410614334470985,10.151316010478068
0,1,0,0.1625,0.14,0.004,0.0037,0.0041,0.2675,0.26,280.0,62.4208663304646,60.053518249910034,1.7943262411347518,-34.0,1.0,6.0,4.219858156028369,1.5353124507557716,0.063,0.066,0.064563829787234,4.76,4.78,4.770425531914894,0.024,0.025,0.0245212765957446,179.2,174.09202127659574,42.3,45.02,43.8181914893617,0.032,0.0342234042553191,50.09,36.02736654804271,12.39502493100206
0,1,0,0.1505,0.12,0.003945,0.0033,0.0047,0.292,0.27,285.0,62.2445999145507,60.1180186788555,1.7902097902097902,-29.0,0.5,6.0,3.160839160839161,2.0728837431550486,0.056,0.062,0.0592727272727272,4.76,4.78,4.7709090909090905,0.023,0.024,0.0235454545454545,180.48,173.65846153846152,42.89,47.46,44.64979020979021,0.032,0.0351328671328671,50.05,26.33021052631579,17.152178647329006
1,1,0,0.15,0.15,0.0039,0.0039,0.0039,0.34,0.34,227.0,61.6040501276652,60.00120148114277,1.9126637554585155,-28.0,3.0,6.0,4.74235807860262,1.2527148179362266,0.022,0.034,0.027240174672489,6.9,7.12,7.023930131004367,0.086,0.09,0.0882532751091702,178.94,174.85842794759827,43.58,45.09,44.24218340611353,0.032,0.0331528384279476,50.05,39.34754385964912,10.381423986373544
0,1,0,0.1574999999999999,0.1,0.004025,0.0036,0.0044,0.2675,0.25,248.0,62.2445999145507,60.15100384763575,1.710843373493976,-29.0,0.5,6.0,2.963855421686747,2.1352218087499044,0.056,0.062,0.0589397590361445,4.76,4.78,4.769799196787149,0.023,0.024,0.0234899598393574,180.48,173.3972690763052,42.89,47.46,44.665140562249,0.032,0.0351646586345381,50.05,24.670201612903227,17.650444924478876
1,1,0,0.1275,0.12,0.0041249999999999,0.0039,0.0042,0.2875,0.27,252.0,61.6040501276652,59.99438960397653,1.6220472440944882,-28.0,3.0,6.0,4.834645669291339,1.2304681427156436,0.022,0.034,0.0282362204724409,6.9,7.12,7.005669291338583,0.086,0.09,0.0879212598425196,178.94,174.95102362204724,43.58,45.28,44.2792125984252,0.032,0.0331338582677165,50.05,40.154901185770754,10.216848425814586
1,1,0,0.1125,0.11,0.0039,0.0038,0.0042,0.285,0.27,244.0,62.7897998809814,60.16616267976441,2.0693877551020408,-37.0,0.5,6.0,4.391836734693878,1.5581405393764416,0.062,0.063,0.0624979591836734,4.61,4.84,4.724530612244898,0.022,0.022,0.022,178.18,174.34195918367345,40.64,45.57,43.0904081632653,0.032,0.0344244897959183,50.06,36.6319262295082,12.985834636735625
0,1,0,0.17,0.17,0.0034,0.0034,0.0034,0.32,0.32,289.0,62.6027665456136,60.06448301979349,1.972413793103448,-42.0,2.0,6.0,4.731034482758621,1.2297082243954958,0.058,0.068,0.0673310344827586,4.4,4.84,4.804275862068965,0.022,0.023,0.0220275862068965,179.46,173.68068965517242,42.74,45.76,43.83793103448276,0.03,0.0333793103448275,50.05,39.43121107266436,10.186460014422703
0,0,1,0.0778,0.0686,0.00025,0.0001,0.0006,,,270.0,61.6040501276652,60.01750722143181,1.6826568265682658,-28.0,3.0,6.0,4.81549815498155,1.165515158312341,0.022,0.034,0.0290848708487084,6.9,7.12,6.990110701107012,0.086,0.09,0.0876383763837638,178.94,174.65217712177122,43.58,45.28,44.2690405904059,0.032,0.0333210332103321,50.05,39.94522222222222,9.696915106869753
0,1,0,0.1275,0.12,0.0042,0.0033,0.0045,0.2825,0.28,299.0,62.6027665456136,60.00185373911851,1.8533333333333333,-42.0,2.0,6.0,4.653333333333333,1.2019308137989535,0.058,0.068,0.06678,4.4,4.84,4.780666666666667,0.022,0.023,0.0220866666666666,179.46,173.6338,42.74,46.72,43.93453333333333,0.03,0.03344,50.05,38.7794983277592,9.9562501068642
1,1,0,0.15,0.15,0.0042,0.0042,0.0042,0.27,0.27,251.0,62.6731000900268,59.84112563844234,1.5776892430278884,-16.0,0.0,6.0,3.661354581673306,2.1690690532504777,0.062,0.071,0.0672709163346613,4.68,4.82,4.76199203187251,0.02,0.022,0.0211713147410358,177.4,174.34326693227092,42.26,45.31,43.55669322709163,0.031,0.0343745019920318,50.05,30.83576,17.596719905371916
0,1,0,0.15,0.14,0.003625,0.0033,0.0041,0.3075,0.27,280.0,62.7897998809814,60.1492465868065,1.825622775800712,-37.0,0.5,6.0,3.96085409252669,1.6069818594160044,0.054,0.063,0.0620818505338078,4.6,4.84,4.693950177935943,0.022,0.024,0.0220711743772242,178.18,174.65181494661925,40.64,45.57,43.1632384341637,0.032,0.0349608540925266,50.06,33.06589285714286,13.305061367062937
0,0,1,0.0938499999999999,0.0754,0.0003999999999999,0.0001,0.0007,,,307.0,61.6040501276652,60.01625234298886,1.948051948051948,-28.0,3.0,6.0,4.665584415584416,1.178741108968088,0.022,0.034,0.0293863636363636,6.34,7.12,6.9062987012987005,0.081,0.09,0.0867370129870129,178.94,174.34126623376625,43.58,45.28,44.26292207792208,0.032,0.0335681818181818,50.05,38.70758957654723,9.788397229100491
1,1,0,0.1125,0.1,0.00465,0.0042,0.0048,,0.27,223.0,62.6731000900268,59.89502128837558,1.654708520179372,-16.0,0.0,6.0,3.533632286995516,2.263595320300868,0.062,0.071,0.0671659192825112,4.68,4.82,4.760358744394619,0.02,0.022,0.0211479820627802,177.4,174.1158744394619,42.26,45.31,43.50286995515695,0.031,0.0343139013452914,50.05,29.80563063063063,18.36871364584957
0,1,0,0.14,0.14,0.0038,0.0038,0.0038,0.26,0.26,294.0,61.8523001988728,60.15540086860275,1.776271186440678,-22.0,0.5,6.0,3.3559322033898304,1.5001441185234057,0.055,0.067,0.0642474576271186,4.42,4.76,4.616203389830509,0.02,0.022,0.0213966101694915,179.2,173.2366779661017,41.53,45.78,43.798,0.032,0.0353966101694915,50.05,27.919081632653057,12.374638830464496
0,1,0,0.1375,0.13,0.00465,0.0038,0.0056,0.2825,0.26,297.0,62.2926500320434,59.930888104574336,1.6711409395973154,-31.0,0.5,6.0,3.486577181208053,1.4453528325365124,0.053,0.062,0.0573791946308724,4.94,5.06,4.975838926174497,0.022,0.023,0.0221375838926174,179.88,175.00778523489933,41.79,45.57,44.08677852348993,0.032,0.0347818791946308,50.04,28.97373737373737,11.86405577493609
0,1,0,0.13,0.13,0.0034,0.0034,0.0034,0.28,0.28,280.0,61.6062998453776,60.03140598217064,1.5622775800711743,-34.0,0.5,6.0,3.604982206405694,1.5920034827122624,0.05,0.066,0.0635907473309608,4.64,4.78,4.7608540925266905,0.024,0.025,0.0245978647686832,179.2,173.75743772241992,42.52,45.02,43.84615658362989,0.032,0.0350320284697508,50.09,33.169178571428574,10.659804094690182
0,1,0,,,,,,,,302.0,62.6027665456136,59.9653721007328,2.066225165562914,-24.0,2.0,6.0,4.6490066225165565,1.1991063976061154,0.058,0.068,0.0660066225165563,4.4,4.84,4.74794701986755,0.022,0.023,0.0221721854304635,178.18,173.34490066225166,42.74,46.72,44.17986754966887,0.03,0.0335364238410596,50.05,38.71063122923588,9.912718628117185
1,1,0,0.1675,0.1,0.004275,0.0041,0.0048,,0.29,232.0,61.6062998453776,60.0453098381569,1.705128205128205,-34.0,1.0,6.0,3.8034188034188032,1.391200526666083,0.063,0.066,0.0649615384615384,4.76,4.78,4.773076923076924,0.024,0.025,0.0246538461538461,179.2,174.06794871794872,42.52,45.02,43.80564102564103,0.032,0.0347179487179487,50.09,32.71862660944206,11.36476215304673
0,1,0,,0.1,,0.0045,0.006,,0.26,299.0,61.6062998453776,60.02735141976132,1.7906976744186047,-34.0,0.5,6.0,3.292358803986711,1.6691039764388251,0.05,0.066,0.0623421926910299,4.64,4.78,4.749634551495017,0.024,0.025,0.0245581395348837,179.2,173.03514950166112,42.52,45.02,43.89810631229236,0.032,0.0354285714285714,50.09,32.71306666666667,9.914170962911037
1,1,0,0.1799999999999999,0.1799999999999999,0.0041,0.0041,0.0041,0.28,0.28,241.0,62.2926500320434,59.95444117384056,1.7768595041322317,0.0,0.5,6.0,3.5330578512396693,1.5860328351946853,0.053,0.062,0.057797520661157,4.94,5.06,4.976198347107438,0.022,0.023,0.0220041322314049,179.88,174.38148760330577,41.79,45.57,43.862355371900826,0.032,0.0347107438016528,50.04,29.350829875518677,13.027562741169348
1,1,0,0.1349999999999999,0.1,0.004475,0.0041,0.0048,,0.27,228.0,61.6040501276652,60.01019411631502,1.6724890829694323,-28.0,3.0,6.0,4.882096069868996,1.095878630682359,0.022,0.034,0.0301746724890829,6.9,7.12,6.970131004366813,0.086,0.09,0.0872751091703056,176.64,174.29589519650656,43.58,45.28,44.24890829694324,0.032,0.0333624454148471,50.05,40.64881578947369,9.097230197696538
0,1,0,0.1,0.1,0.006,0.006,0.006,0.26,0.26,292.0,62.7897998809814,60.05181937878659,1.795221843003413,-30.0,0.5,6.0,3.378839590443686,1.5951003805969866,0.054,0.063,0.0606143344709897,4.6,4.84,4.659795221843003,0.022,0.024,0.0224027303754266,178.18,174.32566552901022,40.64,46.08,43.33116040955632,0.034,0.0355494880546075,50.06,28.12188356164384,13.18695912413935
0,1,0,0.15,0.15,0.0036,0.0036,0.0036,0.37,0.37,280.0,62.5999330520629,59.99629456277232,1.8612099644128115,-37.0,0.5,6.0,3.52135231316726,1.8442690055189463,0.057,0.069,0.0648469750889679,4.65,5.22,4.997508896797153,0.022,0.025,0.023729537366548,182.92,173.01903914590747,43.25,47.25,45.14725978647687,0.033,0.0349039145907473,50.04,27.11810714285714,16.35229140024903
0,1,0,0.16,0.16,0.0049,0.0049,0.0049,0.27,0.27,301.0,62.6731000900268,59.94551997617224,1.528239202657807,-23.0,0.0,6.0,3.5614617940199333,1.9562830033941327,0.062,0.071,0.0670232558139534,4.68,4.82,4.763189368770764,0.02,0.022,0.0216212624584717,177.4,173.9885049833887,42.26,45.31,43.73139534883721,0.031,0.0346445182724252,50.05,29.9579,15.902668249327236
1,1,0,0.105,0.09,0.003475,0.0032,0.0043,0.3425,0.26,250.0,62.3065833409627,59.81959207937807,1.3824701195219125,-32.0,0.5,6.0,3.187250996015936,1.6494838019056153,0.057,0.061,0.0598844621513944,4.72,4.8,4.733306772908366,0.022,0.023,0.0221115537848605,177.1,170.00980079681275,41.65,44.16,42.991633466135454,0.03,0.0343187250996016,50.03,26.44992,13.61806480929654
1,1,0,0.1674999999999999,0.11,0.00405,0.0038,0.0042,0.2825,0.28,226.0,62.2926500320434,59.924523555144674,1.7312775330396477,0.0,0.5,6.0,3.5814977973568283,1.6310622668549346,0.053,0.062,0.0574008810572687,4.94,5.06,4.969074889867842,0.022,0.023,0.0220176211453744,179.88,174.63568281938328,41.79,45.57,43.8904845814978,0.032,0.0346255506607929,50.04,29.75190265486726,13.39946700131653
0,1,0,0.1574999999999999,0.13,0.0049,0.0043,0.0056,0.2975,0.29,307.0,61.8523001988728,60.11991976065103,1.744336569579288,-22.0,0.5,7.9,3.690938511326861,1.5968054836768228,0.055,0.067,0.0629482200647249,4.42,4.76,4.610420711974109,0.02,0.022,0.0216440129449838,179.2,173.04880258899678,41.53,46.51,44.01660194174757,0.033,0.0352912621359223,50.05,29.054902597402595,11.825379857969478
1,1,0,0.0974999999999999,0.09,0.0034499999999999,0.0032,0.0042,0.345,0.27,272.0,62.5335333506266,59.86339768921505,1.7007299270072993,-33.0,1.0,6.0,3.839416058394161,1.6340407078933314,0.045,0.057,0.0526642335766423,4.56,4.72,4.666861313868613,0.022,0.025,0.0242554744525547,175.62,170.45912408759122,42.19,43.68,42.90591240875912,0.03,0.0333722627737226,50.04,31.977619047619047,13.54974602979661
1,1,0,0.1475,0.13,0.0038,0.0034,0.004,0.3125,0.28,248.0,62.6731000900268,59.96835321013481,1.56,-23.0,0.0,6.0,3.816,2.0294379699551266,0.062,0.071,0.068048,4.68,4.82,4.77672,0.02,0.022,0.021608,177.4,174.36692000000002,42.26,45.31,43.649080000000005,0.031,0.034368,50.05,32.14020080321285,16.409791590393844
0,1,0,0.115,0.1,0.004,0.0039,0.0041,0.285,0.25,285.0,62.6556666056315,60.15073388986982,1.9230769230769231,-29.0,0.5,6.0,3.4755244755244754,1.817390331958738,0.05,0.062,0.0579300699300699,4.48,4.78,4.6973426573426575,0.023,0.027,0.0246503496503496,180.9,174.56713286713287,43.79,47.46,45.393076923076926,0.032,0.0352447552447552,50.05,28.89217543859649,14.960155560880128
0,1,0,0.1525,0.13,0.0037749999999999,0.0034,0.0039,0.2725,0.27,292.0,62.5999330520629,60.01146751030999,1.9658703071672357,-37.0,1.0,6.0,3.754266211604096,1.6147937304505429,0.057,0.069,0.0642798634812286,4.65,5.22,4.980819112627986,0.022,0.025,0.0240273037542662,182.92,173.12245733788396,42.2,47.25,45.14409556313993,0.033,0.0347713310580204,50.04,28.341780821917805,14.792604155835646
0,1,1,0.1097610281556469,0.0754,0.0020925561531161,0.0005,0.0049,,0.27,288.0,62.5335333506266,59.85033458973424,1.6332179930795847,-33.0,1.0,7.4,3.949480968858132,1.746447209242605,0.045,0.057,0.0516435986159169,4.56,4.72,4.677923875432525,0.022,0.025,0.0243460207612456,173.94,170.3290311418685,42.19,43.68,42.91415224913495,0.03,0.0334532871972318,50.04,32.06166666666667,13.454828103812252
1,1,0,0.16,0.16,0.0039,0.0036,0.004,0.235,0.22,271.0,61.6062998453776,60.025439359815294,1.5735294117647058,-34.0,0.5,6.0,3.036764705882353,1.7965037313096526,0.05,0.066,0.0614117647058823,4.64,4.78,4.740588235294118,0.024,0.025,0.0246176470588235,179.2,172.71558823529412,42.84,45.02,43.938235294117646,0.032,0.0358235294117647,50.01,32.936494464944644,9.396339352176756
1,1,0,0.145,0.11,0.003825,0.0036,0.0043,0.2775,0.26,269.0,61.8523001988728,60.13909881342747,1.6222222222222222,-22.0,1.0,6.0,3.7111111111111112,1.3461588844765933,0.055,0.067,0.063237037037037,4.42,4.76,4.637185185185185,0.02,0.022,0.0218074074074074,179.2,173.08118518518518,41.53,46.51,43.83044444444444,0.033,0.0351111111111111,50.05,30.757,11.120226467633197
1,1,0,0.16,0.16,0.00391,0.0034,0.0041,0.2704999999999999,0.22,239.0,62.2926500320434,59.98707741974499,1.4273858921161826,-31.0,0.5,6.0,3.8423236514522814,1.2958399765454365,0.053,0.062,0.0559875518672199,4.94,5.06,4.95195020746888,0.022,0.023,0.0222033195020746,179.88,175.73817427385893,41.79,45.57,44.21410788381743,0.032,0.034207468879668,50.04,31.75207468879668,10.820146787870536
1,1,0,0.165,0.15,0.0039499999999999,0.0034,0.0043,0.2925,0.26,243.0,62.3637667338053,59.90511560559742,2.1475409836065573,-24.0,2.0,6.0,4.327868852459017,1.1143849764482907,0.058,0.068,0.0657704918032787,4.4,4.84,4.740327868852459,0.022,0.023,0.0222131147540983,178.18,173.52704918032785,43.1,46.72,44.3372131147541,0.032,0.0338852459016393,50.05,36.08336065573771,9.202648268926357
0,1,0,0.16,0.12,0.004025,0.0038,0.0044,0.289,0.25,298.0,62.3065833409627,59.69777285146967,1.2709030100334449,-32.0,0.5,6.0,3.356521739130435,1.7544141669391229,0.057,0.061,0.0589264214046822,4.72,4.8,4.7514381270903,0.022,0.023,0.0223779264214046,177.1,170.7966220735786,41.65,44.59,43.29096989966556,0.03,0.0344682274247491,50.04,25.47277591973244,13.840456042936774
0,1,0,0.1199999999999999,0.1,0.004,0.0039,0.0043,0.29,0.29,290.0,62.3637667338053,59.86601278835813,1.8865979381443296,-24.0,2.0,13.6,5.28659793814433,2.745615772877114,0.058,0.068,0.0641134020618556,4.4,4.84,4.668384879725086,0.022,0.023,0.0223848797250859,178.18,173.54883161512026,43.1,46.72,44.47745704467354,0.032,0.0335154639175257,50.07,38.767560137457046,10.007056814843663
1,1,0,0.169,0.16,0.00493,0.0043,0.005,0.262,0.26,256.0,62.6556666056315,60.13003766351075,1.875,-29.0,0.5,7.9,3.6859375,1.8209988370962469,0.05,0.062,0.0580625,4.48,4.78,4.685625,0.023,0.027,0.02490625,180.9,174.6753125,43.79,47.46,45.2871875,0.032,0.03521875,50.05,29.9243359375,14.456939318515944
1,1,0,0.145,0.13,0.0041,0.0041,0.0041,0.26,0.25,275.0,62.6731000900268,59.999008306242274,1.7391304347826086,-23.0,0.0,6.0,4.113043478260869,1.6591707057533398,0.062,0.071,0.0674782608695652,4.68,4.82,4.772463768115943,0.02,0.022,0.0219420289855072,177.4,173.46753623188405,42.4,45.15,43.73797101449276,0.031,0.034231884057971,50.05,31.904963768115945,14.150052142485064
0,1,0,0.1185,0.11,0.004365,0.0039,0.0045,0.3085,0.25,308.0,62.3637667338053,59.8253840968758,1.805825242718447,-24.0,2.0,13.6,5.318446601941748,2.665133737518658,0.058,0.068,0.0636699029126213,4.4,4.84,4.649061488673139,0.022,0.023,0.0224304207119741,178.18,173.4688996763754,43.1,46.72,44.520064724919095,0.032,0.0335242718446602,50.07,39.35491909385113,9.946917476404154
1,1,0,0.157,0.13,0.0042,0.0041,0.0043,0.267,0.25,271.0,62.7897998809814,60.121079246773554,1.6176470588235294,-18.0,0.5,6.0,3.161029411764705,1.635161289272769,0.054,0.063,0.059172794117647,4.6,4.84,4.612352941176471,0.022,0.024,0.0227132352941176,178.18,173.92757352941177,40.64,46.08,43.228235294117646,0.031,0.0358676470588235,50.04,23.97639705882353,12.2043907876874
1,1,0,0.14,0.1,0.003975,0.0033,0.0043,0.3,0.25,276.0,62.5335333506266,59.97181259817798,1.6258992805755397,-33.0,1.0,7.4,4.199999999999999,1.8773973843137632,0.045,0.057,0.0505251798561151,4.56,4.72,4.694676258992805,0.022,0.025,0.0245899280575539,173.94,170.24525179856116,42.19,44.27,43.01079136690648,0.03,0.0334244604316546,50.04,33.21453237410072,13.483169544727694
1,1,0,0.1375,0.11,0.003875,0.0034,0.0049,0.3175,0.28,273.0,62.1813831329345,60.03291353321903,1.1927272727272726,-31.0,1.0,6.0,3.4872727272727277,1.3023076858254543,0.053,0.062,0.0548981818181818,4.94,5.06,4.940872727272727,0.022,0.023,0.0223818181818181,179.88,175.24967272727272,41.79,45.57,44.080254545454544,0.032,0.0348036363636363,50.04,27.62956363636364,12.66185822948158
0,1,0,0.1199999999999999,0.1199999999999999,0.00405,0.0039,0.0041,0.2875,0.25,288.0,61.6062998453776,60.03549687239743,1.7370242214532872,-34.0,0.5,6.0,2.717647058823529,1.921371038260612,0.05,0.066,0.0589688581314878,4.64,4.78,4.718477508650519,0.024,0.025,0.0245605536332179,176.64,171.40152249134948,42.83,45.02,43.8657785467128,0.032,0.03639446366782,50.01,32.76342560553633,10.01265662740761
0,1,0,0.167,0.16,0.004015,0.0038,0.0043,0.2895,0.27,264.0,62.5999330520629,60.00433168744493,1.969811320754717,-37.0,1.0,6.0,3.998490566037736,1.536721466139521,0.057,0.069,0.0642,4.65,5.22,4.992,0.024,0.025,0.0244,182.92,173.55784905660377,42.2,47.25,44.777245283018864,0.032,0.0347396226415094,50.04,28.80901886792453,14.805109496911928
1,1,0,0.125,0.1,0.0042,0.0033,0.0051,0.32,0.27,272.0,62.5999330520629,60.014387533798285,1.9927007299270072,-37.0,1.0,6.0,4.064233576642335,1.5528651164168226,0.057,0.069,0.0637007299270073,4.65,5.22,4.968284671532847,0.024,0.025,0.024441605839416,182.92,173.23806569343066,42.2,47.25,44.73390510948905,0.032,0.0346131386861313,50.04,29.504744525547444,15.042257964141172
1,1,0,0.1374999999999999,0.09,0.004325,0.0032,0.0051,0.32,0.27,283.0,61.9339167277018,60.01007193289287,1.676056338028169,-23.0,2.0,6.0,4.363380281690141,1.43043539657666,0.062,0.071,0.0668169014084507,4.7,4.82,4.764225352112676,0.022,0.022,0.022,177.4,172.88760563380282,42.4,45.15,43.57521126760564,0.031,0.0340422535211267,50.06,34.07524647887324,12.813091897247205
0,1,0,0.16,0.16,0.004,0.004,0.004,0.29,0.29,262.0,62.1962333043416,60.1114157249775,1.4486692015209126,-18.0,0.5,6.0,3.5787072243346008,1.5642484238484935,0.054,0.062,0.0581977186311787,4.6,4.61,4.605247148288973,0.022,0.024,0.0229505703422053,178.11,173.62828897338403,40.64,46.08,43.48684410646388,0.031,0.0352395437262357,50.04,26.83878326996198,11.91628326748169
0,1,0,0.14,0.11,0.004575,0.0045,0.0046,0.3425,0.32,283.0,62.1962333043416,59.98588057675695,1.408450704225352,-18.0,0.5,6.0,3.771830985915493,1.6441078518689458,0.054,0.062,0.0578309859154929,4.6,4.61,4.604788732394367,0.022,0.024,0.0230422535211267,178.11,173.52873239436622,40.64,46.08,43.545352112676056,0.031,0.0350140845070422,50.05,28.669084507042253,13.09217582031909
0,1,0,0.15,0.15,0.0039,0.0039,0.0039,0.28,0.28,306.0,61.9339167277018,60.02171245269849,1.5765472312703583,-23.0,2.0,6.0,4.362214983713355,1.3627654671060776,0.058,0.071,0.0657361563517915,4.68,4.82,4.750684039087948,0.022,0.024,0.0220521172638436,177.4,172.0300977198697,42.4,44.58,43.506026058631925,0.031,0.0339804560260586,50.06,34.15771986970684,12.189747540897349
1,1,0,0.16,0.16,0.0034,0.0034,0.0034,0.3,0.3,273.0,62.5335333506266,59.92817994470154,1.8248175182481752,-33.0,1.0,7.4,4.195620437956204,1.8742077637902963,0.045,0.054,0.0492700729927007,4.68,4.72,4.701021897810219,0.024,0.025,0.0244744525547445,173.94,169.87525547445256,41.08,44.27,42.82598540145985,0.03,0.0334890510948905,50.04,33.13335766423358,13.41584554777363
1,1,0,0.132,0.09,0.00332,0.0032,0.0034,0.3279999999999999,0.3,257.0,62.3065833409627,59.62294116130158,1.1556420233463034,-32.0,0.5,6.0,3.46147859922179,1.978901050508661,0.057,0.06,0.0585058365758754,4.72,4.8,4.759844357976654,0.022,0.023,0.0224980544747081,177.1,171.63852140077822,41.65,46.01,43.44249027237354,0.03,0.0344980544747081,50.04,25.922684824902724,15.782669100485917
0,1,0,0.1325,0.11,0.0042,0.0041,0.0045,0.29,0.28,273.0,62.1799667358398,60.01644124608757,1.6496350364963503,-22.0,0.5,7.9,3.9291970802919702,2.114979215476172,0.055,0.067,0.0606058394160584,4.44,4.76,4.5894890510948905,0.022,0.022,0.022,175.84,171.27299270072993,41.53,46.51,44.09948905109489,0.033,0.0355547445255474,50.05,28.41244525547445,14.570088490266906
1,1,0,0.1225,0.09,0.003675,0.0032,0.0051,0.32,0.27,268.0,62.6556666056315,60.141624121134825,1.6691449814126391,-29.0,0.5,7.9,4.303345724907063,2.060907448340491,0.05,0.062,0.0554423791821561,4.48,4.78,4.616059479553903,0.024,0.027,0.0256394052044609,180.9,174.2720817843866,43.79,47.15,45.631672862453534,0.032,0.035085501858736,50.05,31.34527881040892,14.941201387299996
1,1,0,0.1425,0.09,0.003575,0.0032,0.0045,0.3575,0.32,289.0,62.3745166778564,59.834873262437526,2.11340206185567,-24.0,2.0,13.6,5.5237113402061855,2.681498803585333,0.058,0.068,0.0621958762886597,4.2,4.84,4.583780068728522,0.022,0.023,0.0225773195876288,178.18,173.34632302405498,43.1,46.72,44.83398625429553,0.032,0.0335292096219931,50.07,40.76838487972509,9.845687580566198
0,1,0,0.1325,0.13,0.004025,0.004,0.0041,0.2875,0.28,254.0,62.5999330520629,60.03153752642739,2.007843137254902,-37.0,1.0,6.0,4.127843137254902,1.6244591028622444,0.057,0.069,0.0624117647058823,4.65,5.22,4.907058823529412,0.024,0.025,0.0245490196078431,182.92,173.11098039215688,42.2,46.4,44.71450980392157,0.032,0.0346196078431372,50.04,29.56192156862745,15.81372175989372
0,1,0,0.1375,0.13,0.004175,0.004,0.0046,0.3025,0.28,268.0,61.7702665964762,60.02830197498498,1.7723880597014925,-34.0,0.5,5.0,2.1619402985074627,1.6410143376422632,0.05,0.066,0.0566268656716417,4.64,4.78,4.697985074626866,0.024,0.025,0.0244141791044776,176.38,170.59966417910448,42.83,45.02,43.922014925373134,0.033,0.0368731343283582,41.71,28.79485074626865,10.457983079446992
0,1,0,0.1425,0.12,0.0042499999999999,0.0038,0.0046,0.3075,0.28,282.0,62.1962333043416,59.96720803995591,1.702127659574468,-18.0,0.5,6.0,3.912056737588653,1.7792587195445853,0.054,0.062,0.0570354609929078,4.5,4.61,4.600921985815603,0.022,0.024,0.0232482269503546,178.11,173.6323404255319,41.74,46.08,43.957304964539006,0.031,0.0350780141843971,50.06,29.85145390070922,14.46998140757582
1,1,0,0.1275,0.12,0.003175,0.0028,0.0033,0.355,0.35,261.0,62.6556666056315,60.126552773964185,1.6425855513307983,-29.0,0.5,7.9,4.283650190114068,2.12480775584602,0.05,0.062,0.0548365019011406,4.48,4.78,4.600912547528518,0.024,0.027,0.0257908745247148,180.9,174.26087452471484,43.79,47.15,45.68692015209125,0.032,0.0351406844106463,50.05,31.079163498098858,15.40695934453514
1,1,0,0.12,0.12,0.0033,0.0033,0.0033,0.35,0.35,273.0,62.3745166778564,59.82176031314184,2.0948905109489053,-24.0,2.0,13.6,5.578102189781022,2.7519347926635382,0.058,0.068,0.0618686131386861,4.4,4.84,4.57021897810219,0.022,0.023,0.0226131386861313,178.18,173.401897810219,43.1,46.72,44.88058394160584,0.032,0.0334233576642335,50.07,40.9185401459854,10.078746872521426
1,1,0,0.14,0.12,0.003925,0.0033,0.0049,0.325,0.28,268.0,62.5999330520629,60.03453038225411,2.2222222222222223,-37.0,1.0,6.0,4.102222222222222,1.6881598026273872,0.057,0.069,0.0613555555555555,4.32,5.22,4.851999999999999,0.023,0.025,0.0246074074074074,182.92,173.21866666666668,42.2,46.4,44.599851851851845,0.032,0.0347555555555555,50.04,29.70281481481481,16.081819361640928
